================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
13	1236	594	SUCCESS	8
13	645	306	SUCCESS	9
13	129	59	SUCCESS	10
13	201	91	SUCCESS	11
13	2128	1029	SUCCESS	12
13	107	47	SUCCESS	13
13	189	86	SUCCESS	14
13	1216	589	SUCCESS	15
13	1476	720	SUCCESS	16
13	684	341	SUCCESS	17
13	97	43	SUCCESS	18
13	771	377	SUCCESS	19
13	2580	1232	SUCCESS	20
13	1456	716	SUCCESS	21
13	1796	861	SUCCESS	22
13	1239	594	SUCCESS	23
13	649	306	SUCCESS	24
13	130	59	SUCCESS	25
13	200	91	SUCCESS	26
13	2120	1029	SUCCESS	27
13	107	47	SUCCESS	28
13	187	86	SUCCESS	29
13	1218	589	SUCCESS	30
13	1473	720	SUCCESS	31
13	688	341	SUCCESS	32
13	96	43	SUCCESS	33
13	774	377	SUCCESS	34
13	2578	1232	SUCCESS	35
13	1458	716	SUCCESS	36
13	1796	861	SUCCESS	37
13	1236	594	SUCCESS	38
13	645	306	SUCCESS	39
13	131	59	SUCCESS	40
13	201	91	SUCCESS	41
13	2123	1029	SUCCESS	42
13	107	47	SUCCESS	43
13	185	86	SUCCESS	44
13	1213	589	SUCCESS	45
13	1476	720	SUCCESS	46
13	684	341	SUCCESS	47
13	97	43	SUCCESS	48
13	770	377	SUCCESS	49
13	2582	1232	SUCCESS	50
********************************************************************************
14	897	375	SUCCESS	1
14	2305	994	SUCCESS	2
14	1645	702	SUCCESS	3
14	397	170	SUCCESS	4
14	619	268	SUCCESS	5
14	3678	1580	SUCCESS	6
14	979	417	SUCCESS	7
14	2261	975	SUCCESS	8
14	1625	713	SUCCESS	9
14	285	119	SUCCESS	10
14	1566	675	SUCCESS	11
14	1065	453	SUCCESS	12
14	913	385	SUCCESS	13
14	819	348	SUCCESS	14
14	244	102	SUCCESS	15
14	3380	1468	SUCCESS	16
14	916	393	SUCCESS	17
14	951	393	SUCCESS	18
14	358	148	SUCCESS	19
14	969	421	SUCCESS	20
14	256	107	SUCCESS	21
14	393	172	SUCCESS	22
14	427	189	SUCCESS	23
14	3013	1298	SUCCESS	24
14	983	417	SUCCESS	25
14	2280	981	SUCCESS	26
14	974	417	SUCCESS	27
14	2279	981	SUCCESS	28
14	975	417	SUCCESS	29
14	2286	981	SUCCESS	30
14	974	417	SUCCESS	31
14	2281	981	SUCCESS	32
14	976	417	SUCCESS	33
14	2276	981	SUCCESS	34
14	972	417	SUCCESS	35
14	2288	981	SUCCESS	36
14	977	417	SUCCESS	37
14	2276	981	SUCCESS	38
14	975	417	SUCCESS	39
14	2286	981	SUCCESS	40
14	977	417	SUCCESS	41
14	2285	981	SUCCESS	42
14	982	417	SUCCESS	43
14	2275	981	SUCCESS	44
14	975	417	SUCCESS	45
14	2282	981	SUCCESS	46
14	978	417	SUCCESS	47
14	2277	981	SUCCESS	48
14	975	417	SUCCESS	49
14	2281	981	SUCCESS	50
********************************************************************************
15	1243	452	SUCCESS	1
15	575	209	SUCCESS	2
15	317	114	SUCCESS	3
15	272	97	SUCCESS	4
15	3677	1361	SUCCESS	5
15	694	258	SUCCESS	6
15	3932	1435	SUCCESS	7
15	1611	601	SUCCESS	8
15	179	63	SUCCESS	9
15	3882	1472	SUCCESS	10
15	307	113	SUCCESS	11
15	337	119	SUCCESS	12
15	764	291	SUCCESS	13
15	1275	476	SUCCESS	14
15	1629	598	SUCCESS	15
15	1226	452	SUCCESS	16
15	574	209	SUCCESS	17
15	319	114	SUCCESS	18
15	272	97	SUCCESS	19
15	3675	1361	SUCCESS	20
15	692	258	SUCCESS	21
15	3935	1435	SUCCESS	22
15	1613	601	SUCCESS	23
15	177	63	SUCCESS	24
15	3878	1472	SUCCESS	25
15	305	113	SUCCESS	26
15	338	119	SUCCESS	27
15	768	291	SUCCESS	28
15	1280	476	SUCCESS	29
15	1625	598	SUCCESS	30
15	1225	452	SUCCESS	31
15	575	209	SUCCESS	32
15	315	114	SUCCESS	33
15	274	97	SUCCESS	34
15	3676	1361	SUCCESS	35
15	692	258	SUCCESS	36
15	3935	1435	SUCCESS	37
15	1609	601	SUCCESS	38
15	179	63	SUCCESS	39
15	3878	1472	SUCCESS	40
15	306	113	SUCCESS	41
15	335	119	SUCCESS	42
15	767	291	SUCCESS	43
15	1277	476	SUCCESS	44
15	1626	598	SUCCESS	45
15	1224	452	SUCCESS	46
15	575	209	SUCCESS	47
15	318	114	SUCCESS	48
15	272	97	SUCCESS	49
15	3677	1361	SUCCESS	50
********************************************************************************
16	1638	558	SUCCESS	1
16	1591	545	SUCCESS	2
16	2785	957	SUCCESS	3
16	702	243	SUCCESS	4
16	666	227	SUCCESS	5
16	485	172	SUCCESS	6
16	1470	497	SUCCESS	7
16	1641	565	SUCCESS	8
16	567	201	SUCCESS	9
16	1599	554	SUCCESS	10
16	351	119	SUCCESS	11
16	195	65	SUCCESS	12
16	484	166	SUCCESS	13
16	1272	444	SUCCESS	14
16	2113	737	SUCCESS	15
16	4275	1475	SUCCESS	16
16	238	80	SUCCESS	17
16	581	200	SUCCESS	18
16	1321	452	SUCCESS	19
16	758	262	SUCCESS	20
16	1279	443	SUCCESS	21
16	1383	471	SUCCESS	22
16	2788	962	SUCCESS	23
16	939	322	SUCCESS	24
16	1373	479	SUCCESS	25
16	1705	587	SUCCESS	26
16	1337	472	SUCCESS	27
16	323	111	SUCCESS	28
16	2402	842	SUCCESS	29
16	184	61	SUCCESS	30
16	4995	1728	SUCCESS	31
16	338	118	SUCCESS	32
16	327	118	SUCCESS	33
16	321	118	SUCCESS	34
16	323	118	SUCCESS	35
16	324	118	SUCCESS	36
16	320	118	SUCCESS	37
16	321	118	SUCCESS	38
16	322	118	SUCCESS	39
16	322	118	SUCCESS	40
16	320	118	SUCCESS	41
16	322	118	SUCCESS	42
16	321	118	SUCCESS	43
16	320	118	SUCCESS	44
16	324	118	SUCCESS	45
16	319	118	SUCCESS	46
16	320	118	SUCCESS	47
16	322	118	SUCCESS	48
16	320	118	SUCCESS	49
16	319	118	SUCCESS	50
********************************************************************************
17	476	132	SUCCESS	1
17	574	163	SUCCESS	2
17	3416	992	SUCCESS	3
17	615	173	SUCCESS	4
17	3117	889	SUCCESS	5
17	930	274	SUCCESS	6
17	729	211	SUCCESS	7
17	1646	476	SUCCESS	8
17	2796	807	SUCCESS	9
17	2796	807	SUCCESS	10
17	2800	807	SUCCESS	11
17	2790	807	SUCCESS	12
17	2793	807	SUCCESS	13
17	2795	807	SUCCESS	14
17	2794	807	SUCCESS	15
17	2791	807	SUCCESS	16
17	2808	807	SUCCESS	17
17	2793	807	SUCCESS	18
17	2795	807	SUCCESS	19
17	2788	807	SUCCESS	20
17	2796	807	SUCCESS	21
17	2786	807	SUCCESS	22
17	2790	807	SUCCESS	23
17	2791	807	SUCCESS	24
17	2797	807	SUCCESS	25
17	2794	807	SUCCESS	26
17	2803	807	SUCCESS	27
17	2804	807	SUCCESS	28
17	2789	807	SUCCESS	29
17	2795	807	SUCCESS	30
17	2786	807	SUCCESS	31
17	2795	807	SUCCESS	32
17	2799	807	SUCCESS	33
17	2799	807	SUCCESS	34
17	2797	807	SUCCESS	35
17	2789	807	SUCCESS	36
17	2791	807	SUCCESS	37
17	2792	807	SUCCESS	38
17	2794	807	SUCCESS	39
17	2789	807	SUCCESS	40
17	2802	807	SUCCESS	41
17	2785	807	SUCCESS	42
17	2795	807	SUCCESS	43
17	2791	807	SUCCESS	44
17	2794	807	SUCCESS	45
17	2786	807	SUCCESS	46
17	2795	807	SUCCESS	47
17	2801	807	SUCCESS	48
17	2799	807	SUCCESS	49
17	2794	807	SUCCESS	50
********************************************************************************
18	2496	641	SUCCESS	1
18	366	95	SUCCESS	2
